Id	Name	CodeSage	Siren	RCSCity	AddressId	SocialCapital	AgencyId	RepresentingCivilityId	RepresentingName	RepresentingRole	Tag	IsDeleted	CreatedBy	CreatedDate	UpdatedBy	UpdatedDate
1	SCI SANNOIS CERNAY	IDF101	878161405	Nanterre D 878 161 405	1506	1600	21	NULL	NULL	NULL		false	connectedUser	2023-07-05 13:51:14.3115570		2023-07-09 12:14:20.9003756
2	SCI STRASBOURG TIVOLI	AL049	884068826	Strasbourg D 884 068 826	1507	1600	21	NULL	NULL	NULL		false	connectedUser	2023-07-05 13:56:51.2130411		2023-07-09 12:54:43.7096431
3	SCI NICE ARBRE INFERIEUR	PR028	880510912	Nice D 880 510 912	1508	1600	21	NULL	NULL	NULL		false	connectedUser	2023-07-05 14:04:30.9652682		2023-07-09 09:48:35.0649412
4	SCI SAINT ETIENNE MAREY	RA065	888832540	Lyon D 888 832 540	1510	1600	21	NULL	NULL	NULL		false	connectedUser	2023-07-05 14:09:23.5521387		2023-07-09 09:57:32.0594257
5	SCI DE LA VICTOIRE	DSI	123987456	LEVALLOIS Z 999 832 540	1512	1500	21	NULL	NULL	NULL		false	connectedUser	2023-07-05 20:09:12.9969289		2024-01-15 13:08:30.8866046
6	SCCV MITTELHAUSBERGEN SOURCES	AL055	914692835	Strasbourg D 914 692 835	1514	1600	21	NULL	NULL	NULL		false	connectedUser	2023-07-06 08:23:23.8761683		2023-07-10 07:13:18.1553130
7	 SCI SERGY COEUR DE VILLAGE	CH011	899694012	Lyon D 899 694 012	1515	1600	21	NULL	NULL	NULL		false	connectedUser	2023-07-06 08:45:22.9060391		2023-07-10 07:17:48.1822590
8	SCI SPIRIT ANNEMASSE PARC	RA062	917657645	Lyon D 917 657 645	1516	1600	21	NULL	NULL	NULL		false	connectedUser	2023-07-06 08:57:37.5346141		2023-07-10 07:20:53.7090825
9	SCI SAVIGNY FONTAINES	IDF108	877979427	Nanterre D 877 979 427	1518	1600	21	NULL	NULL	NULL		false	connectedUser	2023-07-06 12:26:01.2978949		2023-08-31 10:33:00.7910523
10	SCI VILLEJUIF ALLENDE	IDF126	884740911	Nanterre D 884 740 911	1519	1600	21	NULL	NULL	NULL		false	connectedUser	2023-07-06 12:28:46.1340552		2023-08-31 11:37:31.1415478
11	SCI NEUILLY PLAISANCE MARNE	IDF137	899376545	Nanterre D 899 376 545	1520	1600	21	NULL	NULL	NULL		false	connectedUser	2023-07-06 12:30:55.7153322		2023-07-10 07:38:54.2282720
12	COUDOUX LA PLANTADE	MAR016	904328978	Paris B 904 328 978	1521	8000	21	NULL	NULL	NULL		false	connectedUser	2023-07-06 12:35:11.5311185		2023-07-13 09:31:46.0123072
13	SCCV AIX PAGNOL	MAR017	917428427	Marseille D 917 428 427	1522	1600	21	NULL	NULL	NULL		false	connectedUser	2023-07-06 13:01:49.7986278		2023-07-10 07:51:13.1593917
14	SCI LE BLANC MESNIL PVC	IDF091	882160054	Nanterre D 882 160 054	2673	1600	21	NULL	NULL	NULL		false	connectedUser	2023-07-10 07:26:37.5489157		2023-08-31 10:13:08.5374482
15	SCI IE075 LE MESNIL AMELOT	IE075	911918290	Nanterre	2715	1600	20	NULL	NULL	NULL		false	connectedUser	2023-07-20 13:15:56.5659251		2023-08-10 12:32:09.5113794
16	SCI ILLKIRCH RUE DU TRAVAIL	AL039	849942834	Strasbourg D 849 942 834	2870	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-25 11:17:28.7760042		2023-08-30 14:59:23.8838828
17	SCI OBERHAUSBERGEN ROUTE DE SAVERNE	AL041	880798830	Strasbourg D 880 798 830	2871	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-25 11:23:21.2636299		2023-08-30 15:04:45.7495515
18	SCI STRASBOURG RUE DE LA KLEBSAU	AL042	844250571	Strasbourg D 844 250 571	2872	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-25 11:26:28.9615768		2023-08-30 15:07:34.6878513
19	SCI LINGOLSHEIM QUARTIER EUROPE	AL043	852026152	Strasbourg D 852 026 152	2873	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 10:02:46.0354251		2023-08-30 15:09:33.7006273
20	SCI STRASBOURG ARCHIPEL	AL046	912193091	Strasbourg D 912 193 091	2875	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 10:06:35.4314194		2023-08-30 15:18:29.4635042
21	SCI ROSHEIM AVENUE DE LA GARE	AL048	902539451	Strasbourg D 902 539 451	2876	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 10:10:17.7049127		2023-08-30 16:04:21.7222398
22	SCI LA BATICOLIERE	CH001	752471045	Lyon D 752 471 045	2877	200	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 10:14:01.9377049		NULL
23	SCI RILLIEUX STRASBOURG	CH003	880370903	Lyon D 880 370 903	2878	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 10:18:30.0128473		2023-08-30 16:16:12.3537798
24	SCI DECINES JEAN JAURES	CH004	883354805	Lyon D 883 354 805	2879	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 10:22:31.8245944		2023-08-30 16:25:25.7453600
25	SCI CHARBONNIERES 2020	CH006	880493465	Lyon D 880 493 465	2880	100	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 10:25:10.0587094		NULL
26	SCI SAINT PRIEST ROUSSEAU	CH007	892075672	Lyon D 892 075 672	2881	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 10:28:15.2252636		2023-08-30 16:29:08.2090885
27	SCI RILLIEUX SERMENAZ OPEN	CH008	883450108	Lyon D 883 450 108	2882	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 10:30:18.0834864		2023-08-30 16:33:18.7156481
28	SCI 50 ROUTE DE LYON	CH009	889970729	Lyon D 889 970 729	2883	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 10:33:19.9884593		NULL
